borehole_id,investigation_id,longitude,latitude,yield_m3h,is_productive,water_strike_m,s1_vv,s1_vh,s1_vv_vh_ratio,radar_contrast,ndvi,ndmi,ndwi,dem_elevation,slope_deg,twi,flow_accumulation,dist_to_structure_m,structural_density,intersection_index
BH001,farm_khudumelapye_01,24.95,-23.90,4.54,1,24.38,-12.1,-18.9,6.8,0.42,0.31,0.08,-0.15,1042.3,2.1,7.4,180.2,340.0,0.62,0.55
BH002,farm_khudumelapye_01,24.96,-23.91,0.0,0,35.20,-11.8,-18.5,6.7,0.38,0.28,0.05,-0.18,1039.8,1.9,7.2,165.0,420.5,0.58,0.48
BH003,farm_khudumelapye_01,24.97,-23.92,NA,NA,NA,-13.2,-19.5,6.3,0.45,0.15,-0.12,-0.45,1051.2,3.5,8.1,215.6,280.0,0.71,0.62
BH004,farm_molepolole_02,25.10,-23.85,5.80,1,18.50,-12.4,-19.1,6.7,0.41,0.35,0.12,-0.08,1035.0,2.3,7.6,205.3,310.0,0.65,0.51
BH005,farm_molepolole_02,25.11,-23.86,0.0,0,22.0,-12.0,-18.8,6.8,0.39,0.32,0.09,-0.12,1037.5,2.0,7.3,190.0,350.0,0.61,0.54
BH006,farm_palapye_03,25.35,-23.40,3.25,1,31.10,-11.9,-18.6,6.7,0.40,0.29,0.06,-0.16,1048.0,2.8,7.8,220.0,300.0,0.68,0.59
BH007,farm_palapye_03,25.36,-23.41,0.0,0,15.80,-12.3,-19.2,6.9,0.43,0.33,0.10,-0.10,1041.2,2.4,7.5,195.0,360.0,0.63,0.56
BH008,farm_palapye_03,25.37,-23.42,NA,NA,52.30,-13.5,-20.0,6.5,0.47,0.12,-0.15,-0.50,1055.5,4.2,8.5,260.0,250.0,0.75,0.67
BH009,farm_serowe_04,25.60,-22.75,2.80,1,39.50,-12.2,-18.9,6.7,0.42,0.26,0.03,-0.22,1050.0,3.0,7.9,230.0,290.0,0.69,0.61
BH010,farm_serowe_04,25.61,-22.76,0.0,0,28.40,-11.7,-18.4,6.7,0.37,0.30,0.08,-0.14,1038.5,2.1,7.4,170.0,400.0,0.59,0.50
