borehole_id,location,longitude,latitude,yield_m3h,water_strike_m,static_water_level_m,total_depth_m,is_productive,drill_date,view_id
BH1,Khudumelapye,24.95,-23.9,4.54,24.38,,25.3,1,1929-05-16,MTE3ODQ
BH10687,Khudumelapye,25.101472,-23.741806,44.0,226.0,96.28,310.0,1,2010-03-26,NjI2MjA
BH1829,Khudumelapye,25.02278,-23.75056,1.32,158.5,70.41,301.75,1,1965-07-05,NjU5OTU
BH2869,Khudumelapye,24.86833,-23.935,2.7,122.88,,227.38,1,1900-01-01,NzI3Mw
BH4004,Khudumelapye,24.71944,-23.77139,0.0,,,127.0,0,1977-09-13,NjE4ODU
BH4009,Khudumelapye,24.74861,-23.84111,0.0,,,91.0,0,1977-10-08,NjE4NzM
BH4010,Khudumelapye,24.74861,-23.84222,0.0,,,91.0,0,1977-10-11,NjE4NzQ
BH4011,Khudumelapye,24.74806,-23.83556,0.0,,,59.75,0,1977-10-15,NjE4NzU
BH4012,Khudumelapye,24.94944,-23.90333,0.0,,,53.0,0,1977-10-19,NjE4NzY
BH4018,Khudumelapye,24.74333,-23.87278,0.0,,,169.5,0,1978-02-08,NjE4ODI
BH4031,Khudumelapye,24.95472,-23.91528,0.0,,,13.0,0,1977-11-30,NjE5MDE
BH4032,Khudumelapye,24.95,-23.88333,0.0,,,57.0,0,1977-12-01,NjE5MDI
BH4033,Khudumelapye,24.95,-23.88333,0.0,,,6.0,0,1977-12-10,NjE5MDM
BH4034,Khudumelapye,24.95,-23.88333,0.0,,,18.0,0,1977-12-10,NjE5MDQ
BH1002,Mochudi,26.18972,-24.47167,4.2,70.1,39.6,89.6,1,1958-09-22,Njc0MDM
BH1007,Mochudi,26.10778,-24.405,0.51,49.68,,60.96,1,1958-09-25,NzEyOQ
BH1015,Mochudi,26.26,-24.53389,0.0,,,79.25,0,0000-00-00,MTIzMjY
BH1016,Mochudi,26.13778,-24.395,0.45,51.8,24.4,91.44,1,1958-10-27,Njc0MDg
BH1017,Mochudi,26.24861,-24.44972,0.68,60.96,55.0,91.44,1,1958-10-25,Njc0MDk
BH1018,Mochudi,26.14833,-24.39028,4.5,18.29,13.7,60.96,1,1957-10-23,Njc0MTA
BH1019,Mochudi,26.30833,-24.38778,0.34,68.58,57.9,91.44,1,1958-10-30,Njc0MTE
BH1020,Mochudi,26.29,-24.34139,6.8,27.43,25.9,76.2,1,1958-11-06,Njc0MTI
BH1022,Mochudi,26.21167,-24.54167,0.0,,,91.44,0,0000-00-00,MzA3MDI
BH10232,Mochudi,26.02797,-24.39808,3.0,27.0,6.0,33.0,1,2005-06-10,NjEzNDI
BH10233,Mochudi,26.17746,-24.40406,1.2,21.0,18.8,59.24,1,2005-06-13,NjEzNDM
BH10234,Mochudi,26.14597,-24.39839,5.0,7.0,5.0,9.0,1,2005-08-13,NjEzNDQ
